key,value,se,lo,hi,n,status,run,source,date,note
ood.en.endiff.cos.bo8,0.2482,0.0052,0.2378,0.2583,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.en.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.zh.encorp10.cos,0.4462,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.zh.endiff.cos.bo8,0.3629,0.0059,0.3512,0.3738,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.zh.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.arb.encorp10.cos,0.4618,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.arb.endiff.cos.bo8,0.3198,0.0053,0.3093,0.3304,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.arb.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.ces.encorp10.cos,0.4665,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.ces.endiff.cos.bo8,0.3066,0.0055,0.2956,0.3173,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.ces.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.cmn.encorp10.cos,0.4528,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.cmn.endiff.cos.bo8,0.3543,0.0055,0.3433,0.3648,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.cmn.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.ell.encorp10.cos,0.4607,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.ell.endiff.cos.bo8,0.2541,0.0054,0.2438,0.2646,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.ell.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.hin.encorp10.cos,0.4388,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.hin.endiff.cos.bo8,0.3135,0.0054,0.3029,0.3243,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.hin.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.jpn.encorp10.cos,0.4234,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.jpn.endiff.cos.bo8,0.3611,0.0062,0.3487,0.3735,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.jpn.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.rus.encorp10.cos,0.4791,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.rus.endiff.cos.bo8,0.3235,0.0053,0.3133,0.3335,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.rus.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.tha.encorp10.cos,0.4205,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.tha.endiff.cos.bo8,0.3215,0.0060,0.3098,0.3329,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.tha.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.arxiv.encorp10.cos,0.5237,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.arxiv.endiff.cos.bo8,0.2653,0.0054,0.2547,0.2757,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.arxiv.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.isabelle.encorp10.cos,0.4279,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.isabelle.endiff.cos.bo8,0.2543,0.0063,0.2416,0.2669,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.isabelle.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.lean.encorp10.cos,0.4151,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.lean.endiff.cos.bo8,0.3166,0.0057,0.3056,0.3273,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.lean.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.owm.encorp10.cos,0.5072,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,top-1 of the 10M English TRAINING corpus (train_parity_10m) on this arm's targets; not the arm's own corpus
ood.owm.endiff.cos.bo8,0.2659,0.0055,0.2554,0.2767,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"bo8 centred minus the 10M English training-corpus top-1, paired per target; 10,000-resample percentile CI"
ood.owm.endiff.verdict,exceeds,,,,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,three-state verdict on the bo8 pair against the English training corpus
ood.conj.endiff.nexceed,21,,,,21,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"level-1 conjunction against the English training corpus, 21 arms"
ood.conj.endiff.ninconcl,0,,,,21,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"level-1 conjunction against the English training corpus, 21 arms"
ood.conj.endiff.nreversed,0,,,,21,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,"level-1 conjunction against the English training corpus, 21 arms"
ood.conj.endiff.min,0.2193,0.0071,0.2054,0.2331,512,provisional,R4,results/ood_encorp.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-24,the SMALLEST per-arm margin over the 21 conjunction arms (`sql`)
